epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1103.23,0.77821,0.71356,1.21686,0.86177,0.77715,0.85449,0.58973,1.05968,0.85148,1.42037,0.000462259,0.000462259,0.000462259
75,1117.9,0.78549,0.71381,1.23302,0.83889,0.80203,0.86022,0.59693,1.09517,0.80158,1.43492,0.000445756,0.000445756,0.000445756
76,1132.68,0.7587,0.68302,1.19728,0.85703,0.80789,0.86191,0.59693,1.07947,0.81195,1.42627,0.000429253,0.000429253,0.000429253
77,1147.37,0.76271,0.68325,1.2018,0.86083,0.80008,0.87304,0.6066,1.05816,0.78172,1.39981,0.000412749,0.000412749,0.000412749
78,1162.15,0.7583,0.69519,1.2039,0.87379,0.78602,0.86817,0.59812,1.08285,0.79767,1.4485,0.000396246,0.000396246,0.000396246
79,1176.9,0.75649,0.68551,1.20259,0.85484,0.7924,0.86562,0.59104,1.08455,0.80293,1.42947,0.000379743,0.000379743,0.000379743
80,1191.57,0.76573,0.68087,1.20969,0.83281,0.80286,0.86006,0.59521,1.07196,0.79678,1.4245,0.000363239,0.000363239,0.000363239
81,1206.36,0.74465,0.66602,1.19699,0.86862,0.79183,0.8678,0.60831,1.05241,0.77377,1.40671,0.000346736,0.000346736,0.000346736
82,1221.16,0.74471,0.66235,1.19444,0.83288,0.81235,0.85999,0.59059,1.06247,0.80565,1.41137,0.000330233,0.000330233,0.000330233
83,1235.92,0.74365,0.66384,1.19197,0.8509,0.81851,0.87377,0.6142,1.01783,0.77939,1.39045,0.000313729,0.000313729,0.000313729
84,1250.71,0.73437,0.66063,1.19078,0.83394,0.79363,0.85828,0.59499,1.07784,0.81765,1.43169,0.000297226,0.000297226,0.000297226
85,1265.5,0.73876,0.65578,1.19442,0.85179,0.7966,0.86653,0.5987,1.04334,0.77946,1.39843,0.000280723,0.000280723,0.000280723
86,1280.26,0.72885,0.65606,1.18396,0.85305,0.81078,0.87059,0.60949,1.043,0.76954,1.41228,0.00026422,0.00026422,0.00026422
87,1295.14,0.73017,0.65215,1.19093,0.8574,0.81553,0.87825,0.61242,1.03905,0.7646,1.41091,0.000247716,0.000247716,0.000247716
88,1309.98,0.72627,0.65682,1.18581,0.82878,0.8237,0.8689,0.60241,1.04255,0.79605,1.40203,0.000231213,0.000231213,0.000231213
89,1324.74,0.72222,0.64117,1.18511,0.87042,0.80689,0.8803,0.61066,1.05063,0.76194,1.41023,0.00021471,0.00021471,0.00021471
90,1339.53,0.72301,0.63999,1.18082,0.86606,0.80175,0.87256,0.60839,1.04911,0.7672,1.39841,0.000198206,0.000198206,0.000198206
91,1356.6,0.71159,0.58349,1.2116,0.85509,0.81181,0.87481,0.60864,1.03256,0.75914,1.40097,0.000181703,0.000181703,0.000181703
92,1371.15,0.67655,0.51683,1.17057,0.86291,0.79357,0.86805,0.60691,1.055,0.78322,1.42351,0.0001652,0.0001652,0.0001652
93,1385.8,0.67692,0.50752,1.17678,0.84347,0.82958,0.87831,0.61302,1.06477,0.75779,1.43715,0.000148696,0.000148696,0.000148696
94,1400.47,0.65489,0.48763,1.15722,0.86934,0.81151,0.87743,0.60927,1.04148,0.76547,1.43351,0.000132193,0.000132193,0.000132193
95,1415.08,0.65214,0.49398,1.15648,0.86666,0.81088,0.88134,0.61427,1.04002,0.7602,1.41514,0.00011569,0.00011569,0.00011569
96,1429.73,0.63644,0.47686,1.14156,0.87301,0.80453,0.8828,0.62103,1.01523,0.73702,1.38442,9.91865e-05,9.91865e-05,9.91865e-05
97,1444.48,0.62926,0.46783,1.13541,0.85804,0.82169,0.88247,0.61669,1.03199,0.74333,1.41332,8.26832e-05,8.26832e-05,8.26832e-05
98,1458.96,0.63307,0.47536,1.14039,0.85239,0.82946,0.88147,0.62398,1.02037,0.74754,1.39758,6.61799e-05,6.61799e-05,6.61799e-05
99,1473.65,0.6267,0.46716,1.1374,0.8668,0.81996,0.88084,0.61841,1.04109,0.74971,1.41861,4.96766e-05,4.96766e-05,4.96766e-05
100,1488.21,0.63075,0.46392,1.14441,0.86024,0.82732,0.88248,0.62109,1.03933,0.7581,1.41359,3.31733e-05,3.31733e-05,3.31733e-05
